image_id,year_true,month_true,day_true,year_pred,month_pred,day_pred,year_correct,month_correct,day_correct,final_date_correct,file_name,final_date,notes,detected_text,box_count,selected_method,failure_category
1380,2021,4,9,2021,4,NONE,True,True,False,False,001380.jpg,2021-04-09,,20 | T080 15 | - | U합상 | 55 |  | B | 2021.04. | 09 | 92833657 | 44330 주시 |  |  |  | 5 |  | - | 722 | ,19,original_512,파서 선택/해석 오류
1393,2022,7,14,2022,7,NONE,True,True,False,False,001393.jpg,2022-07-14,14.JUL.2022,EXTRA VIRGIN OLIVE OIL | COLD PRESSED- CHOLESTEROL FREE | MANTOVA | 만토바 엑스트라 |  | 올리브오 |  | !주의사항 | Nutrition Facis | ·낮은 온도에서 올리브오일이 뿌열게 | 을수 있습니다.정진적으로 상은에서 | Galories 120 | Fas Cal.120 | 빛과열로부터얼리두세요 | Total Fat 14cs | ·냉장고에 보관하지 알아주세요 | 21% | 9% | Olve Ol may become doudy at lower | Fa 109 | Sosiun | 0% | ote 0g 0% | Do not stone in nefngerator | Protalr | 48176101101 | 14.JUL2022 | 17 fl oz (500ml) √,28,original_512,OCR 인식 실패
1587,2021,4,20,NONE,NONE,NONE,False,False,False,False,001587.jpg,2021-04-20,,221.04.37,1,original_no_candidate,OCR 인식 실패
1642,2022,3,19,NONE,NONE,NONE,False,False,False,False,001642.jpg,2022-03-19,19-Mar-22,,0,original_no_candidate,OCR 미탐지
1851,2021,12,16,NONE,NONE,NONE,False,False,False,False,001851.jpg,2021-12-16,,WAFERROLL | 초코 웨이퍼롤 브319 | |115g(575kce|a30075 | 161.110,4,original_no_candidate,OCR 인식 실패
2011,2020,6,30,NONE,NONE,NONE,False,False,False,False,002011.jpg,2020-06-30,불완전한 숫자(06),2020.C6.30,1,original_no_candidate,파서 미추출
2019,2022,3,9,NONE,NONE,NONE,False,False,False,False,002019.jpg,2022-03-09,DD/MM/YYYY,,0,original_no_candidate,OCR 미탐지
2247,2021,9,7,2020,9,21,False,True,False,False,002247.jpg,2021-09-07,,293 | 아이밀 | 남남 | 단호박볼 | J0785F08 | 유통기한: | 20 21.09.07 | 까지,8,original_512,파서 선택/해석 오류
2248,2021,9,7,2020,9,21,False,True,False,False,002248.jpg,2021-09-07,002247.jpg과 동일한 이미지이나 pov 차이,아이밀 | J0785F08 | 유통기한 | 단호박볼 | 20 21.09.07 | 까지,6,original_512,파서 선택/해석 오류
2278,2023,7,NONE,NONE,NONE,NONE,False,False,True,False,002278.jpg,2023-07-none,JUL2023,SBHY | BY JUIL | 2023 | BEST | 0189,5,original_no_candidate,정답에 NONE 포함(별도 검토)
2328,2021,10,20,2020,10,21,False,True,False,False,002328.jpg,2021-10-20,,제품영 자일리를 애플민트향 식품유형 추잉경 | 포장재질 풀리에될 | 제조 | 유통전문환 | 사광성 | 피하여 서늘하고통풍 | 판매원 | 9 | No Brand는Fopac | 2020 10.21부팀 | -801019-413575,11,original_512,파서 선택/해석 오류
2492,2022,8,9,NONE,NONE,NONE,False,False,False,False,002492.jpg,2022-08-09,DD.MM.YY,한장소 |  | 원산지 | 식동의유법 | 1008175 | /20nisld) | /E94E | 4N | E | PolengpUsd | 이태리 | EA주스,12,original_no_candidate,OCR 인식 실패
2726,2022,3,17,NONE,NONE,NONE,False,False,False,False,002726.jpg,2022-03-17,DD.MM.YY,L0076 17.03.22 | 04:55 | L007 | 12,4,original_no_candidate,파서 선택/해석 오류
2814,2021,4,2,NONE,NONE,NONE,False,False,False,False,002814.jpg,2021-04-02,기울기보정필요,BABLETA | 유a기한 | 22,3,original_no_candidate,OCR 인식 실패
2892,2021,3,31,2021,3,NONE,True,True,False,False,002892.jpg,2021-03-31,,"5 | 엔비 | 45 | 5 | 표시일 | 0~10 | 요용기한 | 용기해 |  | 포장재질 | 리프로필렌 | OC |  | PP | PP | :OTHER |  | 2021,03.310 | 20:10 04",19,original_512,파서 선택/해석 오류
2899,2021,11,9,2021,11,NONE,True,True,False,False,002899.jpg,2021-11-09,,"연겨자 | 2021,11,098 | 맛입는 거자소스만트는법",3,clahe,파서 선택/해석 오류
3014,2021,6,12,NONE,NONE,NONE,False,False,False,False,003014.jpg,2021-06-12,2021 JUN 12,f0 | g | 1UM POWER | y CiNnaMen FLaX | LEBERRY TASTE | ALWAYS | XERS,7,original_no_candidate,OCR 인식 실패
3218,2021,6,16,2021,3,16,True,False,True,False,003218.jpg,2021-06-16,DD.MM.YYYY,"식품위생법에 의한한글표시사항 | °제품명:밀크테이스트와플(탈지분유9.14% 항유) | 원산지:음도바 | *제품의유형:과자 | 내용량:300g(총 열향: 1,604kcal) | 조사:SAFRANZELUTA | 원재료명: 밀가루(소액분),설탕,평유,탈지분유 9.14%, | 보관방법:해의 | 아분말,인공우유항,소금,반산수소나(행참제) | 관하시고,개 | 달길분말,유당 | ·부정,불량식품신고과 | 일,계란,우유함유 | Imperia | 영양정보 | 내300g 100g S 535kcal | Foeds | 100g당1일영영성분기준치에대한비 | 나 200mg 10% 스 0g | 탄수화을 58g | 32g | 61%단 | 레스테를 Omg 0% | 지방 | 318 | PP | 1기(6은2,000kca) | 3009 | 기이으로개원의 필요열량에라다를 수있니다 | 16.03.2021",30,original_512,OCR 인식 실패
3312,2021,3,11,NONE,NONE,NONE,False,False,False,False,003312.jpg,2021-03-11,"DD.MM.YYYY, 기울기/밝기 보정 필요",R:070 | I,2,original_no_candidate,OCR 인식 실패
3326,2024,6,5,NONE,NONE,NONE,False,False,False,False,003326.jpg,2024-06-05,05 JUN 2024,"Kans | MexicansrE | FOUREHEESE- | SDED MONTEREY JACK, CHEDI | NO rbST | HORMONE | NET WT | 802 (226g)",8,original_no_candidate,OCR 인식 실패
3350,2025,12,10,NONE,NONE,NONE,False,False,False,False,3350.jpeg,2025-12-10,,휴 | 품명 | 참고소한제육덮밥 |  | 풍목보고번호:20000347052-3048 | 110-24-600 | 끈끈하거,7,original_no_candidate,OCR 인식 실패
227,2028,9,17,2028,9,NONE,True,True,False,False,000227.jpg,2028-09-17,뒤에 F3,공학중국관 | Y레이E | 영양정보 |  |  | 2028.09. |  |  |  | ,10,rotation_270,OCR 인식 실패
384,2026,7,8,2025,7,9,False,True,False,False,000384.jpg,2026-07-08,"날자 두 개, 글씨 작음",BRONOIR | 0 | 2025:07:09,3,rotation_270,OCR 인식 실패
416,2026,4,7,2026,4,NONE,True,True,False,False,000416.jpg,2026-04-07,, | 소비기한 | 역고 a0고? | GO!~ | 2026.04,5,clahe,OCR 인식 실패
582,2025,11,21,2025,1,21,True,False,True,False,000582.jpg,2025-11-21,"빛반사 약간, 까지",2025-.1.21:까지.F1 | With,2,original_512,OCR 인식 실패
694,2026,9,1,NONE,NONE,NONE,False,False,False,False,000694.jpg,2026-09-01,뒤에 A3,착한 카카오 | . | . | 프로젝트 | 지속 가능한 상생을 위한 | SUSTAINABLE CACAO 사용 |  |  | 0/9E009800691 | 22868 | 2 |  | 이|2름 | 290 |  | 8 | & |  | %016S1,19,original_no_candidate,OCR 인식 실패
726,2026,9,16,2026,8,16,True,False,True,False,000726.jpg,2026-09-16,까지,2026. 08. 16까지 | 18: ㄷ8NC -1,2,original_512,OCR 인식 실패
749,2026,1,21,NONE,NONE,NONE,False,False,False,False,000749.jpg,2026-01-21,까지A31,의 맛을 살린 | 엇국 | ed Pollock Soup | g[10g(32 kcal)X5개] MUJl ],4,original_no_candidate,OCR 인식 실패
778,2026,6,22,2026,6,NONE,True,True,False,False,000778.jpeg,2026-06-22,"빨강 배경이라 약간 잘 안 보임, 뒤에 C R",Lotius | 2026 06 | #연세우유 | 크림이-복),4,rotation_270,OCR 인식 실패
893,2022,2,7,NONE,NONE,NONE,False,False,False,False,000893.jpg,2022-02-07,"미국식 소비기한 표기, 02가 아니라 FEB으로 되어 있고 거꾸로 적혀있음",SuperMoist. | Betty | BEST W Used By | Chocolate | 07FEB2022 PV  07:17  2,5,original_no_candidate,OCR 인식 실패
954,2021,2,5,NONE,NONE,NONE,False,False,False,False,000954.jpg,2021-02-05,"숫자 두 개 있고, 뒤에 B, 그리고 날짜가 약간 내려가서 까지 옆에 소비기한이 아닌 제조기한이 있음",기(알동심실)90.33 % | 100%국산 등심 | =햄등심 | 촉하고담백한 |  | 21:82:85 | B | 0A1,8,original_no_candidate,OCR 인식 실패
978,2021,11,3,NONE,NONE,NONE,False,False,False,False,000978.jpg,2021-11-03,"거꾸로, 숫자 두개, 숫자 흐려져서 잘 안보임",jo sueuape aue aAep pue OHo INIn | woozpupaueauouunsuooud | MSENOONI JOOONOCBD | ONTA BNMIR SOMSNDMEN DONS ONREA MRIRIREIS VORS INANEONID | TV/NVVEuAVIWNR,5,original_no_candidate,OCR 인식 실패
1084,2021,7,9,NONE,NONE,NONE,False,False,False,False,001084.jpg,2021-07-09,까지,S | R0 |  | 120226 |  | S |  | 4 | B | 2021.97.09 |  | 까지 | HACCP | OU,14,original_no_candidate,OCR 인식 실패
1455,2022,4,2,2022,1,2,True,False,True,False,001455.jpg,2022-04-02,밝게 보정한 사진이라 잘 안보임,"10 | SIU | 제품명 | 요당사립 | 내용량 | 2009 | 식품유형 | 당류가공장 | 품복보고번호 | 20140496065-83 | 원재료명 | 합형).해바라기유,카로틴0.6%,비타민타]100% | 내포장재질 | 용기:폴리프로필렌뚜껑:물리에틸렌 | 제조원 | -유통전문 판매원: 녹차원(주)/서울시 서초구 | 소분원 | 서초대로4길84 | 및 판매원 | 창수면 창동로294 | 문의 및 교환처 | 본사 및 구입처 | -이 제품은 난류,우유,메일,땅공,대도일,복승아 | 주의사항 | 하고 있습니다 | 부정울향직품신고는국번없이 1399 | • | 유통기한 | 2022.01.02 | 미A",30,original_512,OCR 인식 실패
1502,2021,6,24,2021,6,NONE,True,True,False,False,001502.jpg,2021-06-24,24쪽에 빛,"제품명쌀국수 멀치맛 유동기한 전면포시일까지 | 1O등 | 제품 | 스틸린 뚜껑스트 폴리에틸린 |  | 마트/02)39-5678 | 특별시 성동구 특섬로 37(성수동2가) | 818011651013377 | 미정/080-775-3321(수신자부담전화) | 북 경주시 현곡면 안현로 358-7 | 0010538182-407원재료명·연설가루 | 0)가루밀·호주미국산)감자전분핀란드산) | 교산분해간장(탈지대두외국! | 50%)멀치분말3.75% 건마역건표류마 말양분말 | 2021.06. | 건파,식물성크림건당근 | 가공품, 향미증진제1산화규소,향미증진제 | 복합조미식품 | No Brand | 2복합조미식품3향 진제3 다두일 유음 | 브랜드가 아니다소비자다 | ·보관방법:직사광선을 | 이미지 사진 | ·이제품은 알류,메밀 명 | 류호두오징어굴 | 위원회고시소비자 분해 | 조리법 | 열고잘저어드십 | 멸치맛 | 넣어드세요 | 총내용량 | RICE NOODLE | 영양정보 | 320 | 8% | 3% | 1200 | M400 | 1600 | 5 | 1800 | N5]4 | 1000 | 전자레인지 | 뜨거운물 | 쌓구스 | 조리불가 | 주의 | 쌀국수멸치맛 | 500 | 2,120 mg | 나트름 함량비교표시 |  | OTHER",54,highres_1024,OCR 인식 실패
1539,2022,1,18,NONE,NONE,NONE,False,False,False,False,001539.jpg,2022-01-18,육안으로 봐도 살짝 흐릿함,HErStErS | CHOCOBANANA CREME WAFERS MINI | 내장재실 | A | 영업창의개형 | 1앗(이자유(알레이시아산 |  | 09142 | (유화재) | MOV0U | as | 22.91-18 | OTHER | 까지 | 영양정보 | 48100 | 나 1600 8% | o | 트텐스지방00 | 탄수화를 64 g 20 % | 당류 27 027 % | 2g41 | 06011S,23,original_no_candidate,OCR 인식 실패
1646,2021,10,12,2021,1,22,True,False,False,False,001646.jpg,2021-10-12,화질도 안 좋은데 배경도 빨강이라 잘 안보임,2021/1 22.15,1,clahe,OCR 인식 실패
1823,2021,6,9,NONE,NONE,NONE,False,False,False,False,001823.jpg,2021-06-09,글자가 엄청 명확하지는 않은 편이고 사용기한으로 표기,제조번호: | 사용기한: | n통,3,original_no_candidate,OCR 인식 실패
1955,2021,10,NONE,NONE,NONE,NONE,False,False,True,False,001955.jpg,2021-10-NONE,"일 없음, 영어 10월 -> OCT로 표기, 그리고 소비기한 글씨랑 다른 글씨랑 겹쳐져 있음",NuErieton Faots | 제  명 |    (1 |  | 수입판매원 | 제조회사 | BESCUTERIE DE LA PONTE DU RAZ 1WUIX | 프랑스 | heures. | 원재료명 | 1%.일.1 | AmSo | Caheries/Calories 120 | 11% | 제품 법도표시원 Best belore월/년의 O1일끼지 | orisee | 25 | 유동기한 | n | lisatl | 모장재질:총이(내모장:리에일변) | cure | 4 | 4% | 정시신고 변없이1399 | Fibres/FibreOg | 9% | 영양정보 | 내8 40g. 196kcal | Sucres/Sugars 59 | 4 158mg 8% | 단수화 20g 6% |  g 53% | g 8g 8% | XM 12g 22% | 트랜스지방 0.7g | Veamine A/VitaminA | 6% | 스 42mg 14% | C 2g 4% | Viamine C/VitaminC | Fer/lon | Calcium/Calcium | 0% | Poids net/Net weight/Nettogewicht: | 40g | OCTb2021 | EMB 29 168 A | 5 | W4884,50,original_no_candidate,정답에 NONE 포함(별도 검토)
2034,2020,12,17,2017,12,20,False,True,False,False,002034.jpg,2020-12-17,"거꾸로, 그리고 글씨가 다른 것에 비해 작고 귀여움(?)",17.12.20 | L352MW--12:14 | utelld | 하루를시작하는행복한 방법,4,original_512,파서 선택/해석 오류
2066,2020,4,30,2020,4,6,True,True,False,False,002066.jpg,2020-04-30,유통기한 (산란일자가 위에 있어서 숫자 2개),"논 | YY | 신선함의 기준,신란일자를 확인하세요 | 06 | 신란일자 | 2020.04,06 | 50001 | 까지 | 풍질동급 중량규각 | 관란 |  | CCeD | 8린 | 급 | 축산물품집평가원 | 선란 | INONANTIBIOTIC | 제.24-5~1625$ | 냉장제품 | 축산물의 유항식용란",20,original_512,OCR 인식 실패
2251,2021,5,9,NONE,NONE,NONE,False,False,False,False,002251.jpg,2021-05-09,글씨도 잘 안보이는데 거꾸로에 월 영어표기,50 | VitDOm | :te o peoa | Iron 0.3m | Vi A100m | • | Potas 190mg25% | 0%·Vn C 22mg 45% | NGREDIENTS | GERBER | VCENTRATE VTA | A | hrih | 09MAY2021 | 013051591P,15,original_no_candidate,OCR 인식 실패
2258,2022,1,24,NONE,NONE,NONE,False,False,False,False,002258.jpg,2022-01-24,진한 갈색 바탕에 회색 글씨라 잘 안보임,이미지사진 | 구운아몬드 | 아몬드(미국산)100% | 450g | 땅콩또는견과,5,original_no_candidate,OCR 인식 실패
2404,2020,11,11,NONE,NONE,NONE,False,False,False,False,002404.jpg,2020-11-11,그냥 봐도 잘 안 보임;; 밝기 엄청 높여야 보임,merica' | Favorite | Chili | HEINZ,4,original_no_candidate,OCR 인식 실패
2436,2021,6,3,NONE,NONE,NONE,False,False,False,False,002436.jpg,2021-06-03,거꾸로,snuens   |    |  | 이  |  | (06) |  |  | S o O  |  |  | [%6 |  | : | 7 | 6 | 1 | 6 | 5 | 0 | 0 | 6 | 6 | Production | 2 | 3 | P: | 9 | 2 | Best before | Date | E | (dd) | /mm | /yyyy | yyyy | production - Data de fabricacao | Consumit | preferencialmente | antes | de | de | 1P | I그 | 1 | K | 221 | .,48,original_no_candidate,OCR 인식 실패
2586,2022,12,NONE,NONE,NONE,NONE,False,False,True,False,002586.jpg,2022-12-NONE,일 없음. 12/22 이런 식으로 적힘,"DIRECTONS : Take 1 Capsul | cuting disease | 60.0mg | may inhibit the absorption of B-carotene, Store in a | DO NOT USE IF BLISTER SEAL IS BROKEN, | KEEP OUT OF REACH OF CHILDREN. | Batch No: 652332 | Exp.Date: 12/22",8,original_no_candidate,정답에 NONE 포함(별도 검토)
2831,2022,5,21,NONE,NONE,NONE,False,False,False,False,002831.jpg,2022-05-21,주변에 문자가 많음,Best Before | .05.21 | OBIS TEAR ALONG DOTTED UNE | 11:18:45-7.4,4,original_no_candidate,OCR 인식 실패
2917,2021,4,30,2030,4,21,False,True,False,False,002917.jpg,2021-04-30,거꾸로,preferencia antes de: | 30/04/21 | 10081일 | CH | 2371 | L880mg | 탄수74.3 | 우유 | 82.19 | 지방1.8 | 트랜스지방 Og | 스데Om | 지방1.1g | 175ge | 단질80 |  |  | FYRSOROPRETILS | Gallo | CD | PERFETTO | TRUFFLE - A LA TRUFFE - A LA TRUFA - COM TRUFAS,22,original_512,파서 선택/해석 오류
2927,NONE,4,8,NONE,NONE,NONE,True,False,False,False,002927.jpg,NONE-04-08,연 없음. 04.08로 적혀있어서 쉽게 식별 어려울 듯, | TOPPING | 다크츠코 | 토핑부터특별하니까 | CRREEIO | 20744 | 으,7,original_no_candidate,정답에 NONE 포함(별도 검토)
3228,2022,4,26,NONE,NONE,NONE,False,False,False,False,003228.jpg,2022-04-26,"거꾸로, BB 옆에 적혀 있음. 제조기한보다 위에 적혀 있음, 심지어 Pack date도 있어서 날짜가 3개임",FE:0008048,1,original_no_candidate,OCR 인식 실패
3277,NONE,4,5,NONE,NONE,NONE,True,False,False,False,003277.jpg,NONE-04-05,연 없고 04. 05로 적혀 있음,"떠먹는 | SEU | 불기리스 | 토핑과 요거트의 환상 비울로 맛도 | 또떠불 | 또 깍 접어, 떠 먹는불 가리스 | 눈꽃초코&그래놀라 | 0405 |  | 'OIDX | CESPREET | 냉장제품",12,original_no_candidate,정답에 NONE 포함(별도 검토)
3313,2021,7,5,NONE,NONE,NONE,False,False,False,False,003313.jpg,2021-07-05,빛 반사 약간,"COCON | 제품명 | Thitinan Food Co.,Ld | 및소제지 |  | 유통기한 | 에는 가급적 떨리섭취하시기바랍니다. | S8Mo 30 Rama2 Road | TEL 06 2454-960) | Thsnan Bee Products Co Lad. | 또는 보상받을 수 있습니다 | FAX (09 2459-1309 | ·부정.령식품신고는 국번업이 1399. | E-Mat thtinan DooByahoo.com",14,original_no_candidate,OCR 인식 실패
3338,2021,6,1,NONE,NONE,NONE,False,False,False,False,003338.jpg,2021-06-01,빛 반사 심해서 나도 헷갈림,"SDI | (식용색소 | 사과산, | 나 | 오랜지행도 | 사과주스농속 | 0.4시W | 4E | Product of China | EA고 | 122 | Dest Be | 건조하고 서울 | 41 | 202N06/01 | 정식 | 센 세은소비지 | 2기준에 의기 | o | O85 | 영앙정보",21,original_no_candidate,OCR 인식 실패
